전자제품, TV, 20200501, 200, DT00001
전자제품, 컴퓨터, 20200502, 5, DT00002
전자제품, 핸드폰, 20200503, 1, DT00003
전자제품, TV, 20200501, 200, DT00001
전자제품, 컴퓨터, 20200502, 5, DT00002
전자제품, 핸드폰, 20200503, 1, DT00003
전자제품, TV, 20200501, 200, DT00001
전자제품, 컴퓨터, 20200502, 5, DT00002
전자제품, 핸드폰, 20200503, 1, DT00003
전자제품, TV, 20200501, 200, DT00001
전자제품, 컴퓨터, 20200502, 5, DT00002
전자제품, 핸드폰, 20200503, 1, DT00003
전자제품, TV, 20200501, 200, DT00001
전자제품, 컴퓨터, 20200502, 5, DT00002
전자제품, 핸드폰, 20200503, 1, DT00003
